date,time,local_date,local_time,player_count,wayback_url
2005-12-07,04:39:51,2005-12-06,22:39:51,51192,https://web.archive.org/web/20051207043951/http://www.runescape.com/title.ws
2005-12-07,04:42:21,2005-12-06,22:42:21,50931,https://web.archive.org/web/20051207044221/http://www.runescape.com/title.ws
2005-12-07,08:49:17,2005-12-07,02:49:17,26652,https://web.archive.org/web/20051207084917/http://www.runescape.com/title.ws
2005-12-08,04:35:41,2005-12-07,22:35:41,54796,https://web.archive.org/web/20051208043541/http://www.runescape.com/title.ws
2005-12-08,09:13:42,2005-12-08,03:13:42,27298,https://web.archive.org/web/20051208091342/http://www.runescape.com/title.ws
2005-12-10,02:13:10,2005-12-09,20:13:10,131124,https://web.archive.org/web/20051210021310/http://www.runescape.com/title.ws
2005-12-10,03:20:47,2005-12-09,21:20:47,123788,https://web.archive.org/web/20051210032047/http://www.runescape.com/title.ws
2005-12-10,15:45:29,2005-12-10,09:45:29,151184,https://web.archive.org/web/20051210154529/http://www.runescape.com/title.ws
2005-12-10,20:26:12,2005-12-10,14:26:12,166186,https://web.archive.org/web/20051210202612/http://www.runescape.com/title.ws
2005-12-11,06:32:58,2005-12-11,00:32:58,70952,https://web.archive.org/web/20051211063258/http://www.runescape.com/title.ws
2005-12-11,18:53:37,2005-12-11,12:53:37,160364,https://web.archive.org/web/20051211185337/http://www.runescape.com/title.ws
2005-12-12,02:01:18,2005-12-11,20:01:18,111309,https://web.archive.org/web/20051212020118/http://www.runescape.com/title.ws
2005-12-12,06:08:42,2005-12-12,00:08:42,41664,https://web.archive.org/web/20051212060842/http://www.runescape.com/title.ws
2005-12-12,07:00:32,2005-12-12,01:00:32,36752,https://web.archive.org/web/20051212070032/http://www.runescape.com/title.ws
2005-12-12,17:37:11,2005-12-12,11:37:11,84987,https://web.archive.org/web/20051212173711/http://www.runescape.com/title.ws
2005-12-13,01:17:57,2005-12-12,19:17:57,120235,https://web.archive.org/web/20051213011757/http://www.runescape.com/title.ws
2005-12-13,01:46:27,2005-12-12,19:46:27,120309,https://web.archive.org/web/20051213014627/http://www.runescape.com/title.ws
2005-12-13,08:43:08,2005-12-13,02:43:08,27949,https://web.archive.org/web/20051213084308/http://www.runescape.com/title.ws
2005-12-14,05:11:47,2005-12-13,23:11:47,47558,https://web.archive.org/web/20051214051147/http://www.runescape.com/title.ws
2005-12-14,07:40:20,2005-12-14,01:40:20,33582,https://web.archive.org/web/20051214074020/http://www.runescape.com/title.ws
2005-12-14,08:31:03,2005-12-14,02:31:03,29215,https://web.archive.org/web/20051214083103/http://www.runescape.com/title.ws
2005-12-14,20:22:22,2005-12-14,14:22:22,101038,https://web.archive.org/web/20051214202222/http://www.runescape.com/title.ws
2005-12-15,07:47:50,2005-12-15,01:47:50,34075,https://web.archive.org/web/20051215074750/http://www.runescape.com/title.ws
2005-12-15,21:40:35,2005-12-15,15:40:35,125902,https://web.archive.org/web/20051215214035/http://www.runescape.com/title.ws
2005-12-16,11:44:55,2005-12-16,05:44:55,50274,https://web.archive.org/web/20051216114455/http://www.runescape.com/title.ws
2005-12-17,12:18:30,2005-12-17,06:18:30,83939,https://web.archive.org/web/20051217121830/http://www.runescape.com/title.ws
2005-12-18,05:40:16,2005-12-17,23:40:16,83014,https://web.archive.org/web/20051218054016/http://www.runescape.com/title.ws
2005-12-18,16:47:16,2005-12-18,10:47:16,149903,https://web.archive.org/web/20051218164716/http://www.runescape.com/title.ws
2005-12-18,20:19:57,2005-12-18,14:19:57,157224,https://web.archive.org/web/20051218201957/http://www.runescape.com/title.ws
2005-12-19,23:35:44,2005-12-19,17:35:44,154374,https://web.archive.org/web/20051219233544/http://www.runescape.com/title.ws
2005-12-20,07:14:49,2005-12-20,01:14:49,54296,https://web.archive.org/web/20051220071449/http://www.runescape.com/title.ws
2005-12-20,15:19:07,2005-12-20,09:19:07,114625,https://web.archive.org/web/20051220151907/http://www.runescape.com/title.ws
2005-12-21,04:42:16,2005-12-20,22:42:16,87059,https://web.archive.org/web/20051221044216/http://www.runescape.com/title.ws
2005-12-22,17:22:13,2005-12-22,11:22:13,151357,https://web.archive.org/web/20051222172213/http://www.runescape.com/title.ws
2005-12-23,07:58:26,2005-12-23,01:58:26,66569,https://web.archive.org/web/20051223075826/http://www.runescape.com/title.ws
2005-12-23,12:02:21,2005-12-23,06:02:21,87882,https://web.archive.org/web/20051223120221/http://www.runescape.com/title.ws
2005-12-23,18:41:28,2005-12-23,12:41:28,169250,https://web.archive.org/web/20051223184128/http://www.runescape.com/title.ws
2005-12-24,05:48:25,2005-12-23,23:48:25,85453,https://web.archive.org/web/20051224054825/http://www.runescape.com/title.ws
2005-12-24,16:31:10,2005-12-24,10:31:10,132384,https://web.archive.org/web/20051224163110/http://www.runescape.com/title.ws
2005-12-24,20:14:04,2005-12-24,14:14:04,141755,https://web.archive.org/web/20051224201404/http://www.runescape.com/title.ws
2005-12-25,04:55:34,2005-12-24,22:55:34,60041,https://web.archive.org/web/20051225045534/http://www.runescape.com/title.ws
2005-12-25,08:24:13,2005-12-25,02:24:13,44154,https://web.archive.org/web/20051225082413/http://www.runescape.com/title.ws
2005-12-25,08:59:51,2005-12-25,02:59:51,45123,https://web.archive.org/web/20051225085951/http://www.runescape.com/title.ws
2005-12-25,18:43:35,2005-12-25,12:43:35,89303,https://web.archive.org/web/20051225184335/http://www.runescape.com/title.ws
2005-12-26,05:09:25,2005-12-25,23:09:25,71612,https://web.archive.org/web/20051226050925/http://www.runescape.com/title.ws
2005-12-26,14:24:36,2005-12-26,08:24:36,76511,https://web.archive.org/web/20051226142436/http://www.runescape.com/title.ws
2005-12-27,04:28:36,2005-12-26,22:28:36,87619,https://web.archive.org/web/20051227042836/http://www.runescape.com/title.ws
2005-12-27,11:39:10,2005-12-27,05:39:10,61332,https://web.archive.org/web/20051227113910/http://www.runescape.com/title.ws
2005-12-28,10:11:48,2005-12-28,04:11:48,65343,https://web.archive.org/web/20051228101148/http://www.runescape.com/title.ws
2005-12-29,17:16:45,2005-12-29,11:16:45,137372,https://web.archive.org/web/20051229171645/http://www.runescape.com/title.ws
2005-12-29,21:33:03,2005-12-29,15:33:03,144103,https://web.archive.org/web/20051229213303/http://www.runescape.com/title.ws
2005-12-30,02:44:44,2005-12-29,20:44:44,118953,https://web.archive.org/web/20051230024444/http://www.runescape.com/title.ws
2005-12-30,05:08:19,2005-12-29,23:08:19,89950,https://web.archive.org/web/20051230050819/http://www.runescape.com/title.ws
2005-12-31,06:42:10,2005-12-31,00:42:10,72278,https://web.archive.org/web/20051231064210/http://www.runescape.com/title.ws
2005-12-31,12:10:26,2005-12-31,06:10:26,66140,https://web.archive.org/web/20051231121026/http://www.runescape.com/title.ws
2005-12-31,18:21:27,2005-12-31,12:21:27,129709,https://web.archive.org/web/20051231182127/http://www.runescape.com/title.ws
2005-12-31,22:13:37,2005-12-31,16:13:37,128411,https://web.archive.org/web/20051231221337/http://www.runescape.com/title.ws
2006-01-01,02:47:38,2005-12-31,20:47:38,101409,https://web.archive.org/web/20060101024738/http://www.runescape.com/title.ws
2006-01-01,04:28:31,2005-12-31,22:28:31,96966,https://web.archive.org/web/20060101042831/http://www.runescape.com/title.ws
2006-01-01,06:33:17,2006-01-01,00:33:17,75185,https://web.archive.org/web/20060101063317/http://www.runescape.com/title.ws
2006-01-01,12:01:03,2006-01-01,06:01:03,63713,https://web.archive.org/web/20060101120103/http://www.runescape.com/title.ws
2006-01-01,12:28:18,2006-01-01,06:28:18,66112,https://web.archive.org/web/20060101122818/http://www.runescape.com/title.ws
2006-01-01,15:28:21,2006-01-01,09:28:21,96165,https://web.archive.org/web/20060101152821/http://www.runescape.com/title.ws
2006-01-01,17:10:54,2006-01-01,11:10:54,120561,https://web.archive.org/web/20060101171054/http://www.runescape.com/title.ws
2006-01-01,20:32:18,2006-01-01,14:32:18,144294,https://web.archive.org/web/20060101203218/http://www.runescape.com/title.ws
2006-01-01,23:48:32,2006-01-01,17:48:32,128648,https://web.archive.org/web/20060101234832/http://www.runescape.com/title.ws
